,parcel_id,t_a,pick_up,drop_off,h1,h2,shortest_distance,t_dl
0,p1,0,"(-1000.0, 0.0)","(-3500.0, -2598.08)",H1,H14,4000,192
1,p2,0,"(-1000.0, 0.0)","(-3500.0, -2598.08)",H1,H14,4000,151
2,p3,0,"(500.0, -866.03)","(-1000.0, -0.0)",H1,H6,2000,73
3,p4,0,"(-1000.0, 0.0)","(500.0, 2598.08)",H1,H19,3000,130
4,p5,0,"(-500.0, 866.03)","(-3500.0, -2598.08)",H1,H14,5000,192
5,p6,0,"(500.0, -866.03)","(-500.0, 2598.08)",H1,H18,4000,228
6,p7,1,"(500.0, -866.03)","(-1500.0, 866.03)",H1,H6,3000,146
7,p8,1,"(0, 0)","(-3000.0, 0.0)",H1,H15,3000,137
8,p9,1,"(500.0, -866.03)","(-3000.0, -1732.05)",H1,H14,3999,191
9,p10,1,"(-500.0, -866.03)","(1000.0, -1732.05)",H1,H3,1999,108
10,p11,1,"(-500.0, -866.03)","(-1000.0, 1732.05)",H1,H6,3000,178
11,p12,2,"(-500.0, 866.03)","(-500.0, 2598.08)",H1,H7,1999,71
12,p13,2,"(500.0, 866.03)","(2000.0, 1732.05)",H1,H19,1999,71
13,p14,2,"(-1000.0, 0.0)","(-2000.0, -1732.05)",H1,H14,1999,97
14,p15,2,"(-1000.0, 0.0)","(-1000.0, 1732.05)",H1,H17,1999,100
15,p16,2,"(-500.0, 866.03)","(500.0, -2598.08)",H1,H11,4000,124
16,p17,2,"(-500.0, -866.03)","(-3000.0, 0.0)",H1,H15,3000,128
17,p18,3,"(-500.0, 866.03)","(-2000.0, 1732.05)",H1,H6,1999,91
18,p19,3,"(500.0, 866.03)","(-2500.0, 866.03)",H1,H16,3000,125
19,p20,3,"(0, 0)","(-1000.0, -1732.05)",H1,H4,1999,90
20,p21,3,"(-500.0, 866.03)","(-500.0, -2598.08)",H1,H13,4000,168
21,p22,3,"(-1000.0, 0.0)","(1000.0, -3464.1)",H1,H11,3999,231
22,p23,3,"(-1000.0, 0.0)","(500.0, 2598.08)",H1,H7,3000,149
23,p24,3,"(-1000.0, 0.0)","(4000.0, 0.0)",H1,H9,5000,225
24,p25,3,"(-1000.0, 0.0)","(-1000.0, 3464.1)",H1,H18,3999,152
25,p26,3,"(500.0, 866.03)","(1000.0, -1732.05)",H1,H11,3000,158
26,p27,3,"(-500.0, -866.03)","(1000.0, 3464.1)",H1,H19,5000,180
