,parcel_id,t_a,pick_up,drop_off,h1,h2,shortest_distance,t_dl
0,p1,0,"(-1000.0, -1732.05)","(500.0, -2598.08)",H5,H11,2000,97
1,p2,0,"(1000.0, -1732.05)","(-500.0, 866.03)",H3,H7,3000,153
2,p3,0,"(1500.0, -866.03)","(-2500.0, -866.03)",H3,H5,4000,168
3,p4,0,"(-4000.0, 1732.05)","(2500.0, 2598.08)",H16,H8,7000,340
4,p5,0,"(-2000.0, -1732.05)","(-1000.0, 0.0)",H14,H1,1999,96
5,p6,0,"(1000.0, -3464.1)","(2000.0, 1732.05)",H12,H8,5999,302
6,p7,0,"(-2000.0, 0.0)","(-500.0, 866.03)",H5,H6,2000,119
7,p8,0,"(1000.0, 1732.05)","(3500.0, 866.03)",H19,H8,2999,155
8,p9,1,"(1500.0, -866.03)","(-2500.0, 866.03)",H3,H15,5000,244
9,p10,1,"(2500.0, 2598.08)","(-2000.0, 1732.05)",H19,H6,5000,223
10,p11,1,"(500.0, -866.03)","(2000.0, -1732.05)",H3,H10,1999,69
11,p12,1,"(-2000.0, 0.0)","(-3500.0, 866.03)",H15,H16,2000,79
12,p13,1,"(1000.0, -1732.05)","(-3500.0, 866.03)",H11,H16,6000,318
13,p14,1,"(2000.0, 0.0)","(-2500.0, 866.03)",H9,H16,5000,211
14,p15,1,"(-2500.0, 866.03)","(3500.0, -2598.08)",H6,H10,8000,347
15,p16,1,"(-2500.0, -2598.08)","(1000.0, 1732.05)",H13,H7,6000,231
16,p17,1,"(500.0, -2598.08)","(-2000.0, 3464.1)",H12,H17,7000,316
17,p18,1,"(500.0, 866.03)","(0, 3464.1)",H1,H18,2999,129
18,p19,1,"(-2500.0, -2598.08)","(-1000.0, 0.0)",H14,H5,3000,143
19,p20,1,"(500.0, -2598.08)","(0, 3464.1)",H12,H18,7000,379
20,p21,1,"(1500.0, 2598.08)","(500.0, -866.03)",H19,H1,4000,160
21,p22,2,"(500.0, -866.03)","(500.0, -4330.13)",H3,H12,3999,167
22,p23,2,"(1500.0, -866.03)","(3500.0, -866.03)",H3,H9,2000,65
23,p24,2,"(0, 0)","(4000.0, 0.0)",H1,H9,4000,179
24,p25,2,"(3500.0, -2598.08)","(1000.0, -1732.05)",H10,H4,3000,142
25,p26,2,"(-500.0, -866.03)","(-500.0, -4330.13)",H4,H12,3999,208
26,p27,2,"(-2500.0, 2598.08)","(-1000.0, -3464.1)",H17,H13,7000,292
27,p28,2,"(1000.0, 1732.05)","(-2500.0, 866.03)",H7,H16,3999,237
28,p29,2,"(-3500.0, -866.03)","(-3500.0, 866.03)",H15,H15,2000,110
29,p30,2,"(-2000.0, 0.0)","(-500.0, 4330.13)",H5,H18,5000,203
30,p31,2,"(-2500.0, -2598.08)","(500.0, 866.03)",H13,H1,5000,170
31,p32,2,"(2000.0, -0.0)","(500.0, 866.03)",H2,H2,2000,80
32,p33,2,"(-3000.0, 0.0)","(2000.0, -1732.05)",H15,H10,5999,218
33,p34,2,"(2000.0, -0.0)","(1000.0, 1732.05)",H2,H19,1999,116
34,p35,3,"(-500.0, 2598.08)","(-3500.0, 866.03)",H18,H15,3999,185
35,p36,3,"(-2500.0, 2598.08)","(-2000.0, -1732.05)",H16,H5,5000,192
36,p37,3,"(-1500.0, -866.03)","(-2500.0, 2598.08)",H5,H17,4000,168
37,p38,3,"(-4000.0, 0.0)","(-2000.0, 1732.05)",H15,H6,2999,136
38,p39,3,"(-4000.0, 1732.05)","(-500.0, 866.03)",H16,H1,3999,192
39,p40,3,"(4000.0, 0.0)","(2500.0, -2598.08)",H9,H11,3000,162
40,p41,3,"(-3500.0, 2598.08)","(1000.0, -1732.05)",H16,H11,7000,343
41,p42,3,"(-500.0, -4330.13)","(-500.0, -866.03)",H12,H1,3999,150
42,p43,3,"(-500.0, 866.03)","(2000.0, 1732.05)",H6,H2,2999,120
43,p44,3,"(500.0, -2598.08)","(2000.0, 1732.05)",H11,H19,5000,165
44,p45,3,"(-2500.0, 866.03)","(1000.0, 0.0)",H15,H1,4000,191
45,p46,3,"(-2500.0, 2598.08)","(2000.0, 1732.05)",H17,H2,5000,183
46,p47,3,"(0, -3464.1)","(2000.0, -1732.05)",H12,H10,2999,133
47,p48,4,"(-500.0, -866.03)","(1000.0, -1732.05)",H4,H4,1999,104
48,p49,4,"(-1000.0, 1732.05)","(-2500.0, -866.03)",H17,H14,3000,134
49,p50,4,"(-2500.0, -2598.08)","(-500.0, -4330.13)",H13,H12,2999,137
50,p51,4,"(-2000.0, 0.0)","(-2000.0, -1732.05)",H6,H14,1999,80
51,p52,4,"(-2000.0, 0.0)","(0, 0)",H6,H1,2000,121
52,p53,5,"(2000.0, -1732.05)","(-1000.0, 3464.1)",H10,H17,5999,220
53,p54,5,"(3000.0, -1732.05)","(2500.0, 866.03)",H10,H8,3000,181
54,p55,5,"(-500.0, 2598.08)","(-2500.0, 866.03)",H17,H16,2999,132
55,p56,5,"(2000.0, 1732.05)","(-2500.0, 2598.08)",H19,H16,5000,245
56,p57,5,"(2000.0, 3464.1)","(1000.0, 0.0)",H19,H2,3999,130
57,p58,5,"(-3500.0, 866.03)","(1000.0, 1732.05)",H16,H19,4999,275
58,p59,5,"(3500.0, 866.03)","(-2000.0, -3464.1)",H9,H13,8000,447
59,p60,5,"(1000.0, -1732.05)","(2500.0, -866.03)",H3,H9,1999,100
60,p61,5,"(2500.0, -866.03)","(-1500.0, -866.03)",H3,H5,4000,219
61,p62,5,"(2000.0, -1732.05)","(-2500.0, 866.03)",H11,H16,6000,232
62,p63,5,"(3500.0, 2598.08)","(500.0, -866.03)",H8,H3,5000,272
