,courier_id,t,x,y,hexagon
0,c1,0,0.0,0.0,H1
1,c2,0,-500.0,2598.08,H1
2,c3,0,-1000.0,0.0,H1
3,c4,0,500.0,-2598.08,H1
4,c5,0,-2500.0,866.03,H1
5,c6,0,0.0,0.0,H1
6,c7,0,0.0,0.0,H1
7,c8,0,1000.0,1732.05,H1
8,c9,0,-1500.0,-866.03,H1
9,c10,0,-2500.0,866.03,H1
10,c11,0,1000.0,-1732.05,H1
11,c12,0,500.0,-866.03,H1
12,c13,0,1000.0,1732.05,H1
13,c14,0,-2000.0,-1732.05,H1
14,c15,0,1500.0,866.03,H1
15,c16,0,1000.0,0.0,H1
16,c17,0,2000.0,1732.05,H1
17,c18,0,2000.0,1732.05,H1
18,c19,0,-1000.0,0.0,H1
19,c20,0,500.0,4330.13,H2
20,c21,0,3500.0,-2598.08,H2
21,c22,0,-1000.0,1732.05,H2
22,c23,0,-1500.0,-2598.08,H2
23,c24,0,-2000.0,1732.05,H2
24,c25,0,4000.0,-1732.05,H2
25,c26,0,500.0,-4330.13,H2
26,c27,0,500.0,-4330.13,H2
27,c28,0,-3500.0,-866.03,H2
